Area,Element,Item,Year,Unit,Value
India,Food supply (kcal/capita/day),Rice and products,2010,kcal/cap/d,656.54
India,Food supply (kcal/capita/day),Rice and products,2011,kcal/cap/d,692.54
India,Food supply (kcal/capita/day),Rice and products,2012,kcal/cap/d,653.1
India,Food supply (kcal/capita/day),Rice and products,2013,kcal/cap/d,662.16
India,Food supply (kcal/capita/day),Rice and products,2014,kcal/cap/d,666.09
India,Food supply (kcal/capita/day),Rice and products,2015,kcal/cap/d,627.51
India,Food supply (kcal/capita/day),Rice and products,2016,kcal/cap/d,636.06
India,Food supply (kcal/capita/day),Rice and products,2017,kcal/cap/d,636.12
India,Food supply (kcal/capita/day),Rice and products,2018,kcal/cap/d,624.26
India,Food supply (kcal/capita/day),Rice and products,2019,kcal/cap/d,648.57
India,Food supply (kcal/capita/day),Rice and products,2020,kcal/cap/d,669.61
India,Food supply (kcal/capita/day),Rice and products,2021,kcal/cap/d,668.72
