Area,Element,Item,Year,Unit,Value
India,Food supply (kcal/capita/day),Wheat and products,2010,kcal/cap/d,498.25
India,Food supply (kcal/capita/day),Wheat and products,2011,kcal/cap/d,489.78
India,Food supply (kcal/capita/day),Wheat and products,2012,kcal/cap/d,508.91
India,Food supply (kcal/capita/day),Wheat and products,2013,kcal/cap/d,533.93
India,Food supply (kcal/capita/day),Wheat and products,2014,kcal/cap/d,517.5
India,Food supply (kcal/capita/day),Wheat and products,2015,kcal/cap/d,501.39
India,Food supply (kcal/capita/day),Wheat and products,2016,kcal/cap/d,557.18
India,Food supply (kcal/capita/day),Wheat and products,2017,kcal/cap/d,549.52
India,Food supply (kcal/capita/day),Wheat and products,2018,kcal/cap/d,520.03
India,Food supply (kcal/capita/day),Wheat and products,2019,kcal/cap/d,513.82
India,Food supply (kcal/capita/day),Wheat and products,2020,kcal/cap/d,532.77
India,Food supply (kcal/capita/day),Wheat and products,2021,kcal/cap/d,544.83
